ud_id,full_name,position,team,proj,adp,pos_max_proj,proxy_proj,pff_id,ep,notd_ep,noscramb_ep,notd_noscramb_ep,team_ep,team_ppg,team_fpoe,game_recency,min_ppg,min_ep,min_notd_ep,min_noscramb_ep,min_notd_noscramb_ep,min_team_ep,min_team_ppg,min_team_fpoe,min_game_recency,max_ppg,max_ep,max_notd_ep,max_noscramb_ep,max_notd_noscramb_ep,max_team_ep,max_team_ppg,max_team_fpoe,max_game_recency,ppg
21ea0d47-cc1d-4b83-8967-2b3981d02773,Shi Smith,WR,CAR,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
5286d267-f0f3-40f9-8d81-f585590b2b9a,Brandon Zylstra,WR,CAR,0,216,17.14,0,66438,2.9099999999999997,2.26488,2.9099999999999997,2.26488,82.43,70.68,-1.0487474747474748,1,0,0,0,0,0,57.4,44.8,-3.8249999999999997,1,12.6,12.7,10.684,12.7,10.684,108.89999999999999,107.10000000000001,1.94,1,2.25
8effb673-59dc-41f7-983c-2e4bb8adcc2c,Riley Ridley,WR,CHI,0,216,17.14,0,47933,3.1166666666666667,2.6174666666666666,3.1166666666666667,2.6174666666666666,87.76666666666667,78.1,-1.0214983164983162,1,1,1.2,1.2,1.2,1.2,51.7,52.2,-3.1999999999999993,1,6.9,5.7,4.836,5.7,4.836,109.3,95.8,1.5399999999999998,1,3.4
95c5769e-edb6-4e10-bcfe-71308771a063,Mike Thomas,WR,CIN,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
de3dac2b-86ca-41f2-83d7-094ee9ec6af2,Trent Taylor,WR,CIN,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
3286f9d3-ebda-41e7-ba91-5e58f814688f,Stanley Morgan,WR,CIN,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
44f1ee5d-c653-423a-b5a0-9268e541a6a0,Anthony Schwartz,WR,CLE,2.74,216,17.14,0.16,NA,5.379433725014816,4.327623973951305,5.4177715502236765,4.354296130483111,80.45785182540942,79.85929816622428,-0.07154716823876264,1,-0.18328638226586988,0.6644364944330455,0.6586207194609983,0.7865309099015874,0.6996412166741164,54.70493432605401,45.393391062580825,-2.848586047079676,1,15.24512694687692,13.085233163774609,10.211373135241757,13.089929273604119,10.247350774469115,108.9815250352824,115.84517409259291,3.066985601728368,1,NA
7ab26765-b6b3-48f5-a00b-ef3be0fc9cab,KhaDarel Hodge,WR,CLE,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
dc25c71b-bcfa-4ca4-94af-e59dfb10726e,Malik Turner,WR,DAL,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
9f260d4f-9951-40dc-b263-1f2db417898b,DaeSean Hamilton,WR,DEN,0,216,17.14,0,45416,6.182352941176471,4.891435294117647,6.182352941176471,4.891435294117647,79.21176470588236,70.04117647058824,-0.8230421865715983,1,0,1.9,1.4664000000000001,1.9,1.4664000000000001,30.9,10.3,-4.955555555555556,1,16.2,14.9,11.5592,14.9,11.5592,99.7,99.3,3.1777777777777776,1,5.08235294117647
