season,player_id,player_name,recent_team,position,pff_id,player,metric,value,metric_cat
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,FP Pos. Top-24 Rate,0.7142857142857143,Production
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,FP FLEX Top-12 Rate,0.5714285714285714,Production
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,FP FLEX Top-24 Rate,0.5714285714285714,Production
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,FP FLEX Top-36 Rate,0.7142857142857143,Production
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,FP - Total,358.40000000000003,Production
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,EPA,77.4335976773315,Efficiency
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,FP/Gm,25.6,Production
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Targets/Gm,10.642857142857142,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Targets/Gm SD,3.5432957899313253,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,AY/Gm,95,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,AY Std. Dev.,42.91852746774987,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,FP ±,12.472924522895429,Production
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Games 1 SD Over EP,3,Production
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Exp. FP/Gm,16.5,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Expected FP ±,6,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,FP vs. Exp.,5,Efficiency
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Gms.,14,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Positive FPVE Rate,0.8571428571428571,Efficiency
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Non-xTD Share of xFP,0.7357662976921245,Efficiency
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Non-TD Share of FP,0.6986102089348725,Efficiency
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Exp. Pts. Pos. Top-12 Rate,0.5714285714285714,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Exp. Pts. Pos. Top-24 Rate,0.8571428571428571,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Exp. Pts. Pos. Top-36 Rate,0.9285714285714286,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Exp. Pts. FLEX Top-12 Rate,0.42857142857142855,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Exp. Pts. FLEX Top-24 Rate,0.5714285714285714,Opportunity
2020,00-0031381,Davante Adams,GB,WR,8688,Davante Adams,Exp. Pts. FLEX Top-36 Rate,0.7142857142857143,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Targets - 03+,0.6428571428571429,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Targets - 06+,0.07142857142857142,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Targets - 07+,0.07142857142857142,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Targets - 08+,0.07142857142857142,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Targets - 09+,0.07142857142857142,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Targets - 10+,0,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Opps - 10+,1,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Opps - 12+,1,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Opps - 15+,0.9285714285714286,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Opps - 18+,0.7857142857142857,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Opps - 20+,0.7857142857142857,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,AY - 050+,0,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,AY - 075+,0,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,AY - 090+,0,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,AY - 100+,0,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,FP Pos. Top-12 Rate,0.7142857142857143,Production
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,FP Pos. Top-24 Rate,0.9285714285714286,Production
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,FP FLEX Top-12 Rate,0.5,Production
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,FP FLEX Top-24 Rate,0.5714285714285714,Production
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,FP FLEX Top-36 Rate,0.7857142857142857,Production
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,FP - Total,337.8,Production
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,EPA,10.899306032190484,Efficiency
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,FP/Gm,24.12857142857143,Production
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Targets/Gm,3.857142857142857,Opportunity
