season,player_id,player_name,recent_team,position,pff_id,metric,value,fake_name
2020,00-0029604,Kirk Cousins,MIN,QB,7102,Top-24 FP (Among QBs) Rate,0.9375,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,Top 12 Exp. FP (Among QBs) Rate,0.25,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,Top 24 Exp. FP (Among QBs) Rate,0.6875,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,Passing Top 12 Exp. FP (Among QBs) Rate,0.4375,QB A
2020,00-0029604,Kirk Cousins,MIN,QB,7102,Passing Top 24 Exp. FP (Among QBs) Rate,0.6875,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,Adv. Efficiency,0.1630638748125652,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,300+ Yds Passing,0.625,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,350+ Yds Passing,0.1875,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,adot,8.962037927289652,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,FP/Gm,23.775,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,Expected FP/Gm,22.3375,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,Exp. FP  on Scrambles,3.33235125,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,FP vs. Expected on Scrambles,-1.2386012499999999,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,FP vs. Expected,1.4375,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,Exp. FP on Passes,17.7625,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,Top-12 FP (Among QBs) Rate,0.625,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,Top-24 FP (Among QBs) Rate,1,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,Top 12 Exp. FP (Among QBs) Rate,0.75,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,Top 24 Exp. FP (Among QBs) Rate,0.9375,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,Passing Top 12 Exp. FP (Among QBs) Rate,0.5,QB A
2020,00-0033537,Deshaun Watson,HOU,QB,11767,Passing Top 24 Exp. FP (Among QBs) Rate,0.9375,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,Adv. Efficiency,0.11488374685358481,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,300+ Yds Passing,0.3333333333333333,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,350+ Yds Passing,0.1111111111111111,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,adot,7.726114068732851,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,FP/Gm,18.944444444444443,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,Expected FP/Gm,20.122222222222224,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,Exp. FP  on Scrambles,2.193846666666667,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,FP vs. Expected on Scrambles,-1.1049577777777777,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,FP vs. Expected,-1.1777777777777807,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,Exp. FP on Passes,17.788888888888888,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,Top-12 FP (Among QBs) Rate,0.5555555555555556,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,Top-24 FP (Among QBs) Rate,0.7777777777777778,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,Top 12 Exp. FP (Among QBs) Rate,0.5555555555555556,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,Top 24 Exp. FP (Among QBs) Rate,0.7777777777777778,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,Passing Top 12 Exp. FP (Among QBs) Rate,0.5555555555555556,QB A
2020,00-0035289,Gardner Minshew,JAX,QB,41401,Passing Top 24 Exp. FP (Among QBs) Rate,0.7777777777777778,QB A
2020,00-0019596,Tom Brady,TB,QB,698,Adv. Efficiency,0.1790218849881289,QB A
2020,00-0019596,Tom Brady,TB,QB,698,300+ Yds Passing,0.4375,QB A
2020,00-0019596,Tom Brady,TB,QB,698,350+ Yds Passing,0.25,QB A
2020,00-0019596,Tom Brady,TB,QB,698,adot,9.144097012952185,QB A
2020,00-0019596,Tom Brady,TB,QB,698,FP/Gm,22,QB A
2020,00-0019596,Tom Brady,TB,QB,698,Expected FP/Gm,20.96875,QB A
2020,00-0019596,Tom Brady,TB,QB,698,Exp. FP  on Scrambles,0.3082725,QB A
2020,00-0019596,Tom Brady,TB,QB,698,FP vs. Expected on Scrambles,-0.2582725,QB A
2020,00-0019596,Tom Brady,TB,QB,698,FP vs. Expected,1.03125,QB A
2020,00-0019596,Tom Brady,TB,QB,698,Exp. FP on Passes,20.1625,QB A
2020,00-0019596,Tom Brady,TB,QB,698,Top-12 FP (Among QBs) Rate,0.625,QB A
2020,00-0019596,Tom Brady,TB,QB,698,Top-24 FP (Among QBs) Rate,0.875,QB A
2020,00-0019596,Tom Brady,TB,QB,698,Top 12 Exp. FP (Among QBs) Rate,0.625,QB A
2020,00-0019596,Tom Brady,TB,QB,698,Top 24 Exp. FP (Among QBs) Rate,0.9375,QB A
2020,00-0019596,Tom Brady,TB,QB,698,Passing Top 12 Exp. FP (Among QBs) Rate,0.625,QB A
2020,00-0019596,Tom Brady,TB,QB,698,Passing Top 24 Exp. FP (Among QBs) Rate,0.9375,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,Adv. Efficiency,0.17707049498761662,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,300+ Yds Passing,0.6,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,350+ Yds Passing,0.3333333333333333,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,adot,8.196152747304142,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,FP/Gm,25.22,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,Expected FP/Gm,22.593333333333334,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,Exp. FP  on Scrambles,2.869244,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,FP vs. Expected on Scrambles,-1.6692440000000002,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,FP vs. Expected,2.626666666666665,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,Exp. FP on Passes,19.56,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,Top-12 FP (Among QBs) Rate,0.6666666666666666,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,Top-24 FP (Among QBs) Rate,1,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,Top 12 Exp. FP (Among QBs) Rate,0.7333333333333333,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,Top 24 Exp. FP (Among QBs) Rate,1,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,Passing Top 12 Exp. FP (Among QBs) Rate,0.7333333333333333,QB A
2020,00-0033873,Patrick Mahomes,KC,QB,11765,Passing Top 24 Exp. FP (Among QBs) Rate,1,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,Adv. Efficiency,0.17247903123531597,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,300+ Yds Passing,0.1875,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,350+ Yds Passing,0.125,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,adot,8.364321156862166,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,FP/Gm,21.64375,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,Expected FP/Gm,17.16875,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,Exp. FP  on Scrambles,1.61925875,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,FP vs. Expected on Scrambles,-1.5817587499999999,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,FP vs. Expected,4.475000000000001,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,Exp. FP on Passes,14.6875,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,Top-12 FP (Among QBs) Rate,0.5,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,Top-24 FP (Among QBs) Rate,0.9375,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,Top 12 Exp. FP (Among QBs) Rate,0.3125,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,Top 24 Exp. FP (Among QBs) Rate,0.6875,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,Passing Top 12 Exp. FP (Among QBs) Rate,0.25,QB A
2020,00-0029701,Ryan Tannehill,TEN,QB,7014,Passing Top 24 Exp. FP (Among QBs) Rate,0.6875,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,Adv. Efficiency,0.11043316299109257,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,300+ Yds Passing,0.2,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,350+ Yds Passing,0.06666666666666667,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,adot,7.294374063531523,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,FP/Gm,17.073333333333334,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,Expected FP/Gm,17.633333333333333,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,Exp. FP  on Scrambles,2.753146,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,FP vs. Expected on Scrambles,-2.233146,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,FP vs. Expected,-0.5599999999999987,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,Exp. FP on Passes,14.153333333333332,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,Top-12 FP (Among QBs) Rate,0.26666666666666666,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,Top-24 FP (Among QBs) Rate,0.8,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,Top 12 Exp. FP (Among QBs) Rate,0.3333333333333333,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,Top 24 Exp. FP (Among QBs) Rate,0.7333333333333333,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,Passing Top 12 Exp. FP (Among QBs) Rate,0.26666666666666666,QB A
2020,00-0031237,Teddy Bridgewater,CAR,QB,8667,Passing Top 24 Exp. FP (Among QBs) Rate,0.8,QB A
2020,00-0031345,Jimmy Garoppolo,SF,QB,8697,Adv. Efficiency,0.15632701121790385,QB A
2020,00-0031345,Jimmy Garoppolo,SF,QB,8697,300+ Yds Passing,0,QB A
2020,00-0031345,Jimmy Garoppolo,SF,QB,8697,350+ Yds Passing,0,QB A
2020,00-0031345,Jimmy Garoppolo,SF,QB,8697,adot,6.4983363042186575,QB A
2020,00-0031345,Jimmy Garoppolo,SF,QB,8697,FP/Gm,11.566666666666666,QB A
2020,00-0031345,Jimmy Garoppolo,SF,QB,8697,Expected FP/Gm,11.366666666666667,QB A
2020,00-0031345,Jimmy Garoppolo,SF,QB,8697,Exp. FP  on Scrambles,0.46670500000000004,QB A
2020,00-0031345,Jimmy Garoppolo,SF,QB,8697,FP vs. Expected on Scrambles,-0.11670500000000002,QB A
2020,00-0031345,Jimmy Garoppolo,SF,QB,8697,FP vs. Expected,0.1999999999999993,QB A
